Bezeichung,Kosten €,Durchmesser mm,Min. Biegeradius mm,Mechanische Zugfestigkeit N,Betriebstemperatur °C,Widerstand Ω,Spannungsfestigkeit kV
Kabel 25148,1.5,2.6,9.9,60,52,13,4.8
Kabel 25149,7.7,2.3,20.3,90,24,16,3.9
Kabel 25150,5.9,2.7,14.2,100,103,18,4.5
Kabel 25151,4.7,2.1,21.4,80,-4,16,5.1
Kabel 25152,6.7,2.6,27.6,60,69,24,4.5
Kabel 25153,4.9,2.3,27.9,80,44,15,4.6
Kabel 25154,1.9,2,22.6,100,117,17,4.4
Kabel 25155,3.2,1.8,19.8,50,-15,16,3.9
Kabel 25156,8.5,2.3,25.2,100,34,25,4.6
Kabel 25157,4.7,2.4,27.2,90,47,22,4.3
Kabel 25158,8.3,2.5,15.3,80,37,13,2.7
Kabel 25159,5,1.7,8.9,100,4,23,2.1
Kabel 25160,5.4,2,17.2,60,118,27,5.5
Kabel 25161,9.7,2.6,10,90,144,15,4.1
Kabel 25162,2.9,2.2,19.7,100,125,22,5.1
Kabel 25163,2.9,2,24.2,70,70,24,4.5
Kabel 25164,6.1,1.9,19.2,80,-7,19,3.5
Kabel 25165,4.6,2.3,12.7,50,141,25,4.2
Kabel 25166,3.7,2.1,17.3,70,104,18,5.6
Kabel 25167,7,2.5,20,80,71,25,4.7
Kabel 25168,2.2,2.4,16,60,4,24,4.6
Kabel 25169,3.1,2.2,10.5,60,-27,18,2.9
Kabel 25170,1.5,1.7,22.1,100,56,14,3.1
Kabel 25171,6.3,2.4,16.2,50,96,17,2.7
Kabel 25172,7.2,2,16,100,95,17,5.4
Kabel 25173,1.9,2.2,22.5,60,-27,26,3.8
Kabel 25174,4.8,2.5,19.1,90,117,15,3.3
Kabel 25175,5.6,2.5,21.6,80,-17,14,2.1
Kabel 25176,9.7,2.8,25.4,90,-31,24,4.8
Kabel 25177,4.1,1.9,11,70,123,24,4.2
Kabel 25178,2.3,1.8,10.2,80,54,23,4.5
Kabel 25179,7.5,2.8,22.1,80,132,21,4.4
Kabel 25180,2.7,2.4,22.3,90,88,25,5.9
Kabel 25181,6.8,1.8,12.7,80,122,23,5.1
Kabel 25182,4.3,2.2,13.7,100,78,19,2.9
Kabel 25183,8.5,2.5,27.7,90,-39,17,5.9
Kabel 25184,1.5,1.9,11.2,70,-31,22,4.9
Kabel 25185,6.2,1.7,12,50,26,16,4.7
Kabel 25186,1.8,1.7,13.7,50,-11,15,2.3
Kabel 25187,4.4,2.3,24.6,80,93,21,2.4
Kabel 25188,8.7,2.3,24.8,70,130,27,5.7
Kabel 25189,10,1.9,13.8,90,19,14,4
Kabel 25190,10,2.6,19.8,90,107,17,5.7
Kabel 25191,4.5,1.7,9.2,60,-26,26,4.8
Kabel 25192,6.2,1.6,12.7,90,89,25,4.1
Kabel 25193,2.4,2.7,27.6,50,112,23,4
Kabel 25194,3.1,2.5,11.8,80,60,26,5.5
Kabel 25195,2.5,2.8,13.5,60,19,20,5.3
Kabel 25196,7.6,2.6,17.7,80,136,23,4.1
Kabel 25197,8.3,2,17.3,90,74,27,2.9
Kabel 25198,9.6,2.5,27.9,60,95,21,5.9
Kabel 25199,8.6,2.2,25.8,90,32,13,2
Kabel 25200,6.2,2.3,12.4,80,96,13,5.7
Kabel 25201,8.4,2.1,9,50,-15,23,3.2
Kabel 25202,4.6,2.2,8.7,80,1,15,3.4
Kabel 25203,6.7,2.4,22.9,80,118,24,2.2
Kabel 25204,9.5,2.1,12.4,90,14,22,5.7
Kabel 25205,6.3,2.1,20.1,80,84,18,5.8
Kabel 25206,9.9,1.7,10.4,100,73,20,5.1
Kabel 25207,9.4,1.7,10.2,50,17,24,5.9
Kabel 25208,1.9,2.1,24.2,50,28,21,3
Kabel 25209,5.4,2.3,19.1,60,24,16,2.5
Kabel 25210,2.4,2.6,21.7,100,87,17,5.9
Kabel 25211,6.6,2.2,21,80,148,24,2.1
Kabel 25212,4.9,2.6,26.6,90,104,26,5.2
Kabel 25213,6.3,1.7,12.3,60,32,19,4.8
Kabel 25214,9.6,2.1,21.5,50,-5,16,6
Kabel 25215,9,1.6,8,60,31,20,3.4
Kabel 25216,5.1,1.8,9.7,100,-6,22,3.1
Kabel 25217,7.6,2,24.2,90,112,21,2.3
Kabel 25218,6.6,2.2,25,90,136,13,2.1
Kabel 25219,3.6,1.9,23.2,80,147,14,5.6
Kabel 25220,8.1,2.7,13.5,50,39,21,3.5
Kabel 25221,1.3,2.1,13.3,70,-28,21,2.4
Kabel 25222,1.6,2.1,8.8,100,-37,21,2.8
Kabel 25223,1.3,2.5,16.6,90,-25,20,2.8
Kabel 25224,6.2,1.6,25.9,90,145,20,4.3
Kabel 25225,3.2,2.7,22.8,70,-39,21,3.7
Kabel 25226,4,2.6,19.7,70,125,26,3.1
Kabel 25227,2,2.4,17,60,11,14,2.9
Kabel 25228,6.6,2.6,22.5,60,-10,20,3.9
Kabel 25229,9.2,2.5,11.6,60,53,23,6
Kabel 25230,8.8,2.6,19.9,80,47,18,3.8
Kabel 25231,8.6,2,23.4,100,63,27,4.5
Kabel 25232,8.9,2.5,15.4,70,81,15,4.1
Kabel 25233,2.4,2.3,22.3,80,112,17,3
Kabel 25234,1.7,1.6,10,90,67,18,3.5
Kabel 25235,3.5,2.6,16.7,90,12,15,3.2
Kabel 25236,7.1,1.9,10.2,90,42,26,4.9
Kabel 25237,2.4,2.3,21.8,90,-30,16,4.5
Kabel 25238,8.6,2.6,8.3,90,47,20,5
Kabel 25239,3.8,1.9,27.6,50,1,24,4.8
Kabel 25240,1.4,1.7,18.3,70,46,24,5.7
Kabel 25241,8.6,2.1,27.5,60,62,24,2.2
Kabel 25242,4.7,2.2,19.8,50,46,22,3
Kabel 25243,7.8,2.2,17.8,80,141,22,5.4
Kabel 25244,7.6,2.2,16.7,60,16,20,3.4
Kabel 25245,3,1.7,27.5,90,61,17,2.8
Kabel 25246,9.4,2.4,17.3,60,-1,22,3.2
Kabel 25247,8.5,1.8,23.8,70,-29,21,5.3
Kabel 25248,4.3,2.1,15.8,100,48,26,2
Kabel 25249,3.3,2.8,18.4,80,136,25,2
Kabel 25250,9.8,2.1,15.8,50,140,16,4.6
Kabel 25251,9.8,1.9,16.9,100,46,15,2.9
Kabel 25252,3.4,1.9,15.9,100,43,23,3.3
Kabel 25253,2.4,2.8,24.4,70,133,18,4.7
Kabel 25254,5.1,1.8,20.8,90,68,26,5.7
Kabel 25255,7.5,1.7,10.1,90,103,27,5.4
Kabel 25256,1.3,2.6,14.2,60,3,13,5.9
Kabel 25257,4,1.8,18.9,70,119,17,4.1
Kabel 25258,3.9,2.7,22.1,80,7,24,4
Kabel 25259,4.3,2.7,23,80,123,20,4
Kabel 25260,4.1,2.5,15,80,1,23,5.8
Kabel 25261,1.8,2.4,14.7,60,63,19,5.9
Kabel 25262,1.1,2.8,26.2,80,-32,15,3.3
Kabel 25263,5.5,1.9,22.7,70,28,13,2.1
Kabel 25264,1.1,2.3,13.6,70,21,21,3.9
Kabel 25265,7.6,2.3,26.2,60,43,17,4.9
Kabel 25266,8.4,1.7,8.5,70,11,25,3.6
Kabel 25267,8.2,2.7,13.7,60,110,15,4
Kabel 25268,5.4,2.2,15.8,80,114,25,4.1
Kabel 25269,8.7,1.8,21.4,60,-18,24,3.4
Kabel 25270,5.4,2.7,16.9,60,-28,19,2.3
Kabel 25271,6.6,2.4,19.5,80,43,24,4
Kabel 25272,8.4,2.1,19.6,70,131,18,3.9
Kabel 25273,2.2,2.3,25.4,100,63,26,4.5
Kabel 25274,1.9,1.9,26.8,70,82,25,2.6
Kabel 25275,4.4,2.6,19.5,70,69,17,3.8
Kabel 25276,7.3,2.1,24.9,80,148,16,5
Kabel 25277,2.9,2.6,24.1,90,36,22,3.9
Kabel 25278,3.3,1.7,9,90,102,21,5.8
Kabel 25279,8.6,1.7,19.1,70,96,13,4.9
Kabel 25280,8.9,2.3,12.9,60,60,16,2.4
Kabel 25281,7.4,2.6,27.6,70,19,18,2.4
Kabel 25282,3.3,2.5,14.1,50,119,21,5.3
Kabel 25283,5.2,1.7,25.5,70,-31,22,5.7
Kabel 25284,6.8,1.7,21.9,80,104,22,4.1
Kabel 25285,4.6,2,24.9,80,-5,20,5.5
Kabel 25286,8.6,1.9,22.3,100,128,15,3.2
Kabel 25287,8.9,2.7,9.9,70,111,17,5.5
Kabel 25288,9.3,2.7,18.7,60,22,24,3.4
Kabel 25289,2.8,2.8,26.7,100,75,15,4.6
Kabel 25290,6.1,2.3,13.3,60,61,19,3.5
Kabel 25291,2.6,2.3,18.9,60,-36,17,2.5
Kabel 25292,1.4,1.9,18.8,90,-6,14,4.1
Kabel 25293,8.6,2.2,12.6,80,23,25,3
Kabel 25294,5.1,2.8,13.2,70,91,23,5.6
Kabel 25295,6.7,1.7,27.3,100,65,17,2.6
Kabel 25296,8.9,1.8,16.5,80,7,21,5.8
Kabel 25297,9.1,2.1,21.4,60,19,17,3.3
Kabel 25298,7.3,2.1,23.4,80,107,22,4.4
Kabel 25299,7.6,1.8,13.4,90,118,22,4.6
Kabel 25300,5.9,1.7,8.3,90,132,18,3.9
Kabel 25301,2.1,2.3,19.3,90,4,25,4.5
Kabel 25302,6.5,2.5,14.6,50,42,14,3.7
Kabel 25303,3.5,2.5,26,80,143,27,5.2
Kabel 25304,7.6,2.1,26.8,80,-31,26,2.6
Kabel 25305,4.1,1.8,26.9,60,120,19,3.7
Kabel 25306,3.7,2.1,11.9,60,-21,25,4.3
Kabel 25307,4.6,2.7,17.7,80,51,24,4.2
Kabel 25308,7.7,2.6,18.7,60,11,23,5.1
Kabel 25309,3.7,1.8,12.9,60,9,19,4.3
Kabel 25310,8.3,2,10.6,60,109,22,3.2
Kabel 25311,1.2,2,13.9,50,122,18,4.2
Kabel 25312,4.9,2.6,23.3,80,28,14,5.3
Kabel 25313,5.1,2.7,24.5,70,9,16,4.8
Kabel 25314,7,2,12.7,80,2,26,4.4
Kabel 25315,3.3,2.3,15.3,60,87,13,2.5
Kabel 25316,8.7,2.4,10.4,90,40,18,3.2
Kabel 25317,2,1.9,26.2,100,88,18,4.2
Kabel 25318,4,2.8,19.4,60,-23,21,2.2
Kabel 25319,3.9,2.5,8.3,70,74,23,3.8
Kabel 25320,4.3,2.1,9.5,70,8,27,2.8
Kabel 25321,7.1,2,11.9,50,53,14,3.3
Kabel 25322,7.9,2.4,18.3,60,128,20,2.9
Kabel 25323,8.9,2.1,17.4,100,140,20,5.6
Kabel 25324,9,1.8,26.9,60,106,19,4.8
Kabel 25325,4.3,2.3,14.1,50,57,27,2.8
Kabel 25326,5.8,2.5,16.2,90,-14,24,4.1
Kabel 25327,8.8,2.7,16.5,80,140,21,5.3
Kabel 25328,5.8,2.5,23,60,136,14,4.1
Kabel 25329,2.6,1.9,25.4,60,135,18,3.2
Kabel 25330,5.1,2.3,13.1,50,-19,14,3.6
Kabel 25331,6.7,2.6,21.1,70,-37,25,2.9
Kabel 25332,2,2.5,24.3,60,28,20,4.4
Kabel 25333,7.6,2.7,25.2,60,134,25,3.4
Kabel 25334,8.7,2,21,80,106,23,4.1
Kabel 25335,1.1,2,9.1,70,126,24,5.4
Kabel 25336,7,2.2,18,50,43,23,4.9
Kabel 25337,4.6,2.2,25,60,47,24,3.4
Kabel 25338,4.9,2.4,25.8,80,26,14,6
Kabel 25339,7.4,2.5,11.5,90,68,24,3.3
Kabel 25340,2.5,1.9,12.3,50,-22,14,4
Kabel 25341,8.2,1.8,12,90,30,13,3.3
Kabel 25342,5.5,2.7,10.4,70,54,20,5.9
Kabel 25343,1.1,2,14.7,70,142,23,3
Kabel 25344,2.7,2.1,17.3,100,-31,22,3
Kabel 25345,2.1,2.5,24.2,80,48,13,2.4
Kabel 25346,2.1,1.8,11.2,70,26,17,5.7
Kabel 25347,7,1.7,25.3,80,2,14,2.7
Kabel 25348,4.6,1.9,23.8,100,91,27,2.8
Kabel 25349,5,2.1,22.3,50,32,18,2.9
Kabel 25350,3.9,2.1,26.7,50,-21,23,2.3
Kabel 25351,4.3,2.6,21.8,80,124,26,2.4
Kabel 25352,8.7,2.4,26.7,70,-17,14,5.7
Kabel 25353,1.9,2.4,23.3,90,41,14,5
Kabel 25354,1.4,1.9,11.1,80,-26,14,3.5
Kabel 25355,2,1.9,19.2,100,12,13,4.7
Kabel 25356,8.8,2.3,14.6,70,127,20,3.5
Kabel 25357,9.8,2.7,14.7,100,93,14,4.9
Kabel 25358,1.5,2.1,13.8,80,131,26,2.5
Kabel 25359,1.1,2,11.9,90,93,21,5.6
Kabel 25360,2.6,2.2,11.6,100,63,22,4.8
Kabel 25361,4.7,2.7,23.7,90,-14,24,3.7
Kabel 25362,5.7,2,15.9,50,83,20,4.4
Kabel 25363,6.2,2.5,27,90,104,25,2.9
Kabel 25364,2.2,2.7,13.9,80,47,16,4.7
Kabel 25365,3.1,2.1,27.4,90,76,25,4.7
Kabel 25366,3,2.7,26.5,100,-6,21,5
Kabel 25367,6.4,2.6,17.9,90,135,21,3.7
Kabel 25368,5.4,2.8,26.3,90,34,25,3
Kabel 25369,5.3,2.4,20.6,70,120,21,5.4
Kabel 25370,9.1,2.6,23.8,80,110,14,3.3
Kabel 25371,8.3,2,20.3,70,30,25,2.3
Kabel 25372,9.2,2.3,13.9,70,82,22,2.9
Kabel 25373,5,1.8,25.7,50,118,25,3.2
Kabel 25374,8.6,1.8,13,80,110,27,4.6
Kabel 25375,2,1.7,9.1,70,43,24,2.5
Kabel 25376,1.8,2.2,24,90,126,27,2
Kabel 25377,1,1.9,8.7,80,139,16,3.3
Kabel 25378,1.8,2.6,23.8,70,128,18,2.5
Kabel 25379,8.5,1.7,12.5,80,37,13,4.6
Kabel 25380,7.2,2,23.5,60,39,26,3.7
Kabel 25381,5.5,1.7,14.4,80,-37,19,2
Kabel 25382,5,2,24.1,100,-9,19,2.2
Kabel 25383,7.9,2.5,22.6,90,24,15,5.5
Kabel 25384,3,2.3,26.9,70,18,23,4.7
Kabel 25385,8,2.2,25.4,80,-9,26,2.3
Kabel 25386,9.5,2.5,23.2,80,143,27,4
Kabel 25387,4.2,2.7,12.3,80,4,19,5.6
Kabel 25388,8,1.7,18.9,70,102,27,3.7
Kabel 25389,3.1,2,16.2,60,119,17,5.2
Kabel 25390,6,2.6,15.4,70,111,21,4.6
Kabel 25391,7.2,1.8,22.7,80,97,24,3.4
Kabel 25392,8.9,2.7,23.1,50,74,14,2.6
Kabel 25393,3.4,2.5,13.7,50,9,22,4.2
Kabel 25394,3.8,1.7,27.3,90,-15,21,4.7
Kabel 25395,4.5,2.7,9.6,60,48,17,4.7
Kabel 25396,2.6,1.8,24.1,80,102,24,4.1
Kabel 25397,8.5,2.4,8.5,100,134,18,5.1
Kabel 25398,4.6,2,10.9,100,71,22,2.8
Kabel 25399,7.7,2,22.5,50,75,13,2.7
Kabel 25400,2.9,2.8,25.2,80,-3,20,4.5
Kabel 25401,1.3,2.2,15.7,70,87,19,5.7
Kabel 25402,3,1.7,14.5,70,33,20,3.8
Kabel 25403,9.8,2.3,24.2,60,30,17,2
Kabel 25404,1.3,2.4,18.3,90,16,17,4.9
Kabel 25405,3.8,2.3,22.6,60,125,16,3.3
Kabel 25406,8.1,2.7,12.3,60,103,22,3.9
Kabel 25407,5.2,1.8,13.3,100,-6,14,5.6
Kabel 25408,8.9,2.3,16.5,50,41,14,3.6
Kabel 25409,7.6,2.1,25.7,80,37,26,2.8
Kabel 25410,1.2,2.1,12,50,37,23,5.6
Kabel 25411,6,1.9,16.9,80,-8,24,4.7
Kabel 25412,7.4,2.3,25.8,50,132,16,4.7
Kabel 25413,7.4,1.6,20,100,-33,19,2.6
Kabel 25414,5.7,2.5,23.8,90,29,14,4.8
Kabel 25415,6.2,2.1,16,100,-19,17,2.1
Kabel 25416,4,2.4,8.2,60,71,22,4.4
Kabel 25417,1.3,2.3,11.1,60,104,16,4.1
Kabel 25418,8.5,1.7,13.3,60,2,14,5.9
Kabel 25419,8.5,1.8,23.1,80,69,19,4
Kabel 25420,4,2.1,9.7,80,142,23,2.4
Kabel 25421,9.3,1.6,27.7,60,18,21,3.7
Kabel 25422,1.8,2.6,8.5,60,103,16,4.3
Kabel 25423,8.5,2.5,8.8,100,136,24,4.8
Kabel 25424,9.3,1.6,21.9,70,88,16,4.7
Kabel 25425,1.5,2,20.1,60,108,13,3.7
Kabel 25426,6.9,2.6,17.9,50,53,15,2.7
Kabel 25427,2,2,9.3,80,52,22,5.6
Kabel 25428,3.7,1.9,27.7,100,-33,26,5.6
Kabel 25429,6.6,1.9,10.6,70,121,26,3.3
Kabel 25430,9.3,1.8,20.5,100,61,17,3.9
Kabel 25431,1.7,2.4,20.4,70,145,19,2.1
Kabel 25432,8.2,2.6,21.7,70,60,26,4.7
Kabel 25433,6.3,2.7,16.4,70,127,17,2.8
Kabel 25434,5.8,1.8,27.2,60,117,13,2.1
Kabel 25435,2.5,2.7,22.9,70,113,13,2.6
Kabel 25436,6.4,2.1,8.1,80,-10,23,2.6
Kabel 25437,8,2.5,10.5,60,64,25,4.5
Kabel 25438,7.5,2.4,27.7,50,36,15,3.8
Kabel 25439,8.8,2,23,90,75,24,3.1
Kabel 25440,7.6,2.6,25.9,80,144,19,2.9
Kabel 25441,5.9,2.2,26.4,60,61,18,4.4
Kabel 25442,8.8,1.6,19.1,90,26,25,5.8
Kabel 25443,5.3,2.6,20.8,70,139,22,4.2
Kabel 25444,2.8,1.8,23.4,80,-31,14,3.1
Kabel 25445,6.2,1.8,16.1,100,129,27,4.9
Kabel 25446,3.3,1.8,17.3,90,0,24,4.6
Kabel 25447,8.8,1.8,11.3,70,-13,19,2.8
Kabel 25448,1.6,2.6,12.6,80,46,19,4
Kabel 25449,6.9,2.2,13.4,60,95,13,3.2
Kabel 25450,8.1,2.2,23.6,80,127,23,5.4
Kabel 25451,1.4,2.3,15.5,70,5,19,2.7
Kabel 25452,6.6,2.6,16.7,90,63,25,2.7
Kabel 25453,1.2,1.8,19,60,68,18,3.9
Kabel 25454,7.7,2.3,19.5,80,124,22,2.3
Kabel 25455,2.5,2.2,9.8,70,-14,21,5.8
Kabel 25456,3.1,2.5,12.4,50,66,15,2.3
Kabel 25457,8.2,2.5,19.6,70,39,20,5
Kabel 25458,4.1,2,12.7,90,145,25,3.1
Kabel 25459,4.3,2.1,23.8,60,101,20,3.7
Kabel 25460,5.5,2.5,18.4,50,69,22,3.3
Kabel 25461,6.6,2.3,19.2,70,63,24,4
Kabel 25462,9,2.7,8.6,90,10,26,3.5
Kabel 25463,8.7,2.7,13.5,80,113,18,4.2
Kabel 25464,7,1.6,25.5,80,110,14,5.8
Kabel 25465,3,1.9,12.8,70,2,20,5.4
Kabel 25466,4.8,2,21.8,90,83,16,4.2
Kabel 25467,5.4,2.6,8.9,70,92,22,4.1
Kabel 25468,9.1,1.6,25.7,80,-16,15,2.2
Kabel 25469,1.8,1.6,12.2,50,89,14,4.6
Kabel 25470,8.5,2.4,21.4,60,21,21,3.6
Kabel 25471,9.5,2,24.3,50,109,17,4.7
Kabel 25472,1.4,2.4,21.8,80,102,22,4.7
Kabel 25473,9.5,2.6,24.7,70,53,22,2.2
Kabel 25474,7.3,2.2,23.6,100,58,23,3.6
Kabel 25475,9.4,2,18.1,70,-1,21,3.9
Kabel 25476,1.2,2.6,8.9,50,-10,19,4.3
Kabel 25477,9.2,2.6,23.4,100,27,20,4.6
Kabel 25478,1.8,2.2,11.3,60,131,18,5.2
Kabel 25479,8,1.6,25.2,60,91,25,3.2
Kabel 25480,2.7,2.6,19.5,80,84,17,5.2
Kabel 25481,9.9,2.7,25.5,70,58,25,2.7
Kabel 25482,4.3,2.1,11.3,60,-20,22,3.6
Kabel 25483,2.5,1.9,17.3,80,63,19,3.9
Kabel 25484,5.3,2.3,18.1,90,-37,14,3.9
Kabel 25485,3.3,2.7,19.5,70,-32,17,2.6
Kabel 25486,3,2.7,9,70,2,18,3.2
Kabel 25487,8.3,2.4,23.5,80,130,19,3.1
Kabel 25488,2.6,2.7,11.2,90,-32,14,4.3
Kabel 25489,7.4,1.8,12.8,100,96,24,4.4
Kabel 25490,2.5,2,12.8,90,85,23,2.9
Kabel 25491,1.3,2.6,21.4,80,82,17,3.7
Kabel 25492,6.8,2.7,18.6,90,5,18,3.7
Kabel 25493,2.4,1.9,14.8,90,138,14,3
Kabel 25494,8.6,2,18,80,-28,24,3.9
Kabel 25495,8.8,2.5,18.8,70,137,17,2.9
Kabel 25496,9.2,2,15,70,-18,18,3
Kabel 25497,5.5,2.4,9.8,90,14,17,2.1
Kabel 25498,3.8,2.1,17.7,90,38,23,4.5
Kabel 25499,5.7,2.3,18.5,90,-34,20,2.9
Kabel 25500,6.6,2.1,27,70,95,15,3.6
Kabel 25501,2.6,2.2,19.1,50,-22,21,2.4
Kabel 25502,5.6,2.4,12.2,70,37,21,4.9
Kabel 25503,4,2.4,12.7,90,20,25,4.9
Kabel 25504,6.1,2.1,12.2,60,90,24,2.8
Kabel 25505,9.6,2.5,13.1,60,-20,15,5.9
Kabel 25506,6.2,2.4,23,80,111,26,2.6
Kabel 25507,5.1,2.4,20.9,70,9,23,5.5
Kabel 25508,3.1,2.3,27,80,46,15,5.7
Kabel 25509,4.3,2.3,13.5,50,96,15,3.8
Kabel 25510,5.4,1.9,24.9,60,106,14,5.4
Kabel 25511,4,2.4,14.6,100,6,14,5
Kabel 25512,6.2,2.8,11.6,60,49,24,3
Kabel 25513,9.5,2.5,17.2,70,86,14,4.4
Kabel 25514,3,2.4,18.9,50,135,26,2.5
Kabel 25515,2.8,1.6,19.9,70,132,21,2.9
Kabel 25516,3.3,1.9,17,70,126,22,5.2
Kabel 25517,5.6,2.2,18.6,80,60,13,2.7
Kabel 25518,8.5,2.4,22.2,80,144,16,2.6
Kabel 25519,7.8,2.2,17.6,70,31,22,4.7
Kabel 25520,4,2.8,16.2,70,66,26,2.6
Kabel 25521,4.6,2.1,27.5,80,14,26,5
Kabel 25522,4,2.4,12.9,60,36,14,3.4
Kabel 25523,7.4,2.7,8,100,104,17,2
Kabel 25524,6.2,1.6,24.9,60,26,23,4
Kabel 25525,1.1,1.8,27.1,50,-27,20,5.7
Kabel 25526,6.1,1.7,12.7,70,49,27,2.9
Kabel 25527,8.1,2,13.9,100,138,14,5.3
Kabel 25528,5.8,2.5,25.6,90,54,24,3.8
Kabel 25529,7.7,2.2,27,60,52,25,4.2
Kabel 25530,9.1,2.3,19.4,50,110,25,3.2
Kabel 25531,8.8,2.1,16.1,80,62,25,2.3
Kabel 25532,7,2.3,11.8,90,23,25,3.8
Kabel 25533,8.9,1.7,18.7,90,91,15,4.9
Kabel 25534,6.2,2.6,19.8,90,106,15,2.4
Kabel 25535,8.8,2.3,19.6,80,104,19,3.7
Kabel 25536,1.9,2,15.3,100,113,23,3.8
Kabel 25537,8.9,2.4,19.4,90,88,15,5.2
Kabel 25538,1.6,2.2,13.8,60,10,25,4.7
Kabel 25539,2,2.3,27.8,80,69,13,2.8
Kabel 25540,3.4,2.6,17.3,50,76,20,5.6
Kabel 25541,1.3,1.7,17.6,90,2,27,2.4
Kabel 25542,6.3,2.7,18.2,50,144,17,3.4
Kabel 25543,4.2,2.6,10.2,100,76,14,3.4
Kabel 25544,2,2.3,23.1,80,106,13,5.1
Kabel 25545,5.4,2.8,27.8,90,33,17,5
Kabel 25546,5.5,2.7,23.6,80,37,24,4.3
Kabel 25547,2.6,2,10.5,90,-15,26,5.6
Kabel 25548,7.6,2.4,8.5,90,-3,21,5.1
Kabel 25549,3.8,2.2,9.4,90,16,17,5.5
Kabel 25550,1.2,2.1,8,70,125,17,5.2
Kabel 25551,6.3,2.7,15.6,100,-6,15,4.7
Kabel 25552,6.9,2,13.6,60,-4,20,5
Kabel 25553,6.8,1.6,12.4,90,112,13,4.5
Kabel 25554,2.9,2.3,8,90,49,24,4.1
Kabel 25555,10,2.6,20.9,60,78,23,4.7
Kabel 25556,3.8,2.3,22,70,35,16,3
Kabel 25557,7.5,1.7,24.1,70,-14,19,3.6
Kabel 25558,7.1,2.7,18.1,70,22,17,4.4
Kabel 25559,2.9,2.7,18.5,60,-24,15,3.8
Kabel 25560,6.2,1.7,10.1,60,91,20,2.1
Kabel 25561,1.9,2.5,19.3,60,74,15,5.9
Kabel 25562,3.3,2.7,16.5,70,120,18,3.6
Kabel 25563,2.6,2.2,12.3,90,1,24,2.6
Kabel 25564,3.1,2.7,23.2,80,53,15,2.5
Kabel 25565,3.4,2.7,24.4,90,9,25,5.6
Kabel 25566,3.1,2.3,22.8,50,30,18,4
Kabel 25567,6.9,1.7,14.6,50,80,20,4
Kabel 25568,3.4,2.4,24.2,80,83,18,5.5
Kabel 25569,9.1,2.8,11,100,53,14,3.6
Kabel 25570,6,2.5,10.3,70,51,26,5.5
Kabel 25571,5.5,2.6,24.7,50,10,26,5.2
Kabel 25572,6.2,1.8,23.5,60,39,13,4.9
Kabel 25573,8.6,2.4,13.8,60,1,20,2.7
Kabel 25574,8.7,2.5,23.2,50,48,22,3.5
Kabel 25575,6.9,1.6,20.8,50,23,19,4.9
Kabel 25576,2.7,2.2,10.4,90,62,20,3
Kabel 25577,8.5,2.5,16,70,-34,26,3.4
Kabel 25578,6.3,2,18.2,70,29,21,4.1
Kabel 25579,9.5,1.8,25.4,90,35,26,4.7
Kabel 25580,5,2.2,23.3,60,97,22,5.7
Kabel 25581,4.5,1.6,17.2,70,74,25,4.4
Kabel 25582,6.8,2.1,12.2,90,121,17,2.3
Kabel 25583,7.9,2.1,24.5,80,74,14,5.8
Kabel 25584,1.1,1.6,13.3,80,-10,22,3.6
Kabel 25585,2.2,2,23.2,80,-27,24,3.9
Kabel 25586,2.4,1.9,20.3,80,94,21,5.7
Kabel 25587,4.4,2,10.5,60,136,22,2.2
Kabel 25588,9,2.3,14.1,60,133,24,2.4
Kabel 25589,8.2,2.6,25,60,121,21,5.4
Kabel 25590,5.4,1.7,24.8,60,146,22,5.2
Kabel 25591,8.9,2.3,23.5,70,127,19,3.6
Kabel 25592,1.5,1.8,22.6,50,5,19,2.4
Kabel 25593,2.1,2.2,15,100,89,16,2.3
Kabel 25594,7,2.7,18.9,90,-14,21,5.5
Kabel 25595,6.9,2.1,11.8,80,-10,18,2.7
Kabel 25596,1.3,2.7,20.2,90,142,27,4.3
Kabel 25597,8.3,2.7,24.8,60,107,23,3.3
Kabel 25598,1.3,2.3,17.3,90,121,23,4.5
Kabel 25599,2.4,2.1,19.8,90,71,13,4.9
Kabel 25600,3.7,2.7,14.8,60,-4,25,5.6
Kabel 25601,6.5,1.7,16.2,70,46,17,3.6
Kabel 25602,3.6,2.3,16.3,100,-9,21,5.3
Kabel 25603,3,1.9,17.1,60,29,24,2.8
Kabel 25604,5.6,2.4,19.3,80,82,22,2.2
Kabel 25605,5.3,2.7,22.5,90,42,14,4.5
Kabel 25606,3.5,2.3,26.4,90,100,21,4.8
Kabel 25607,9.7,1.8,24.7,100,86,22,3.4
Kabel 25608,6.4,1.8,18.9,90,-25,23,4.9
Kabel 25609,6.7,2.6,14.7,80,11,17,4.9
Kabel 25610,6.2,2.6,19.9,60,41,22,2.7
Kabel 25611,5.3,2.3,26.5,60,115,14,2.8
Kabel 25612,4.2,2.4,20.7,100,-25,18,5
Kabel 25613,4.1,1.8,22.7,50,-4,22,4.1
Kabel 25614,9,1.7,27.2,70,148,15,4
Kabel 25615,10,2.4,26,90,5,14,5.8
Kabel 25616,3.2,1.9,27.2,50,31,20,4.8
Kabel 25617,7.7,2.7,17.6,60,72,27,4
Kabel 25618,9.5,2.2,19.9,60,35,25,5.9
Kabel 25619,3.9,2.8,21.5,60,23,13,3.3
Kabel 25620,5.3,2.5,26.6,90,118,13,5.9
